Status	Gene_ID	Location	NR_blast_Eval	NR_hit	SP_blast_Eval	SP_hit
discard	CHS.25273	chr19:2491709-2493905:+	8e-30	EHH14291.1, hypothetical protein EGK_00186, partial [Macaca mulatta]	8.05e-25	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.25294	chr19:2927578-2931314:-	2e-49	AAG35515.1, PRO2550 [Homo sapiens]	4.92e-30	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.25323	chr19:3312512-3354402:+	4e-46	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	2.19e-40	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.25324	chr19:3341359-3350714:-	5e-31	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.16e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.25357	chr19:3944823-3950241:-	8e-48	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	2.71e-36	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.25367	chr19:4067011-4070686:+	1e-26	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.77e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.25377	chr19:4243127-4245600:+	9e-40	EHH20263.1, hypothetical protein EGK_03078, partial [Macaca mulatta]	1.63e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.25402	chr19:4631624-4634822:-	1e-37	EHH24426.1, hypothetical protein EGK_08082, partial [Macaca mulatta]	2.53e-29	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.25428	chr19:5548698-5554311:+	5e-33	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.21e-27	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.25494	chr19:7012907-7013566:-	3e-29	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	2.38e-23	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.2561	chr1:112774589-112795291:+	5e-40	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.25690	chr19:11079344-11084385:-	1e-35	EAW83836.1, hCG2014340 [Homo sapiens]	4.91e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.25703	chr19:11293749-11294842:+	5e-24	XP_009196570.1, PREDICTED: protein FAM122C isoform X13 [Papio anubis]	-	-
discard	CHS.25733	chr19:11785041-11787968:-	4e-27	FAA00321.1, TPA: augmented in rheumatoid arthritis 2 [Homo sapiens]	4.97e-26	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.25745	chr19:12082133-12085334:+	2e-19	XP_014202723.1, PREDICTED: protein GVQW1-like, partial [Pan paniscus]	4.10e-16	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
non-coding	CHS.25756	chr19:12297733-12314338:+	1e-22	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	2.05e-18	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
discard	CHS.2578	chr1:113686027-113690499:+	6e-21	CAE89781.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.25787	chr19:12762494-12762939:+	3e-34	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.05e-24	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.25829	chr19:13167296-13176786:+	5e-32	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	1.03e-16	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.25836	chr19:13653686-13681985:-	1e-32	XP_008977846.2, PREDICTED: LOW QUALITY PROTEIN: protein GVQW1 [Callithrix jacchus]	3.20e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.25850	chr19:13837141-13842918:-	2e-83	BAC85217.1, unnamed protein product [Homo sapiens]	2.83e-86	sp|Q6ZPA2|YS039_HUMAN, Putative uncharacterized protein FLJ26174 OS=Homo sapiens PE=2 SV=1
discard	CHS.25920	chr19:15025578-15029361:+	1e-34	XP_016809897.1, PREDICTED: zinc finger protein 454 isoform X2 [Pan troglodytes]	1.55e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.25940	chr19:15603924-15608110:-	6e-19	CAF14439.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.2608	chr1:114802171-114804333:-	4e-44	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.26114	chr19:18799582-18802118:+	1e-30	EHH15935.1, hypothetical protein EGK_02111, partial [Macaca mulatta]	1.19e-17	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.26128	chr19:19113053-19117777:-	5e-27	XP_016812110.1, PREDICTED: protein GVQW1-like [Pan troglodytes]	2.79e-23	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
discard	CHS.26187	chr19:20702517-20741726:-	2e-26	CAD69516.1, unnamed protein product [Homo sapiens]	2.26e-19	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.26224	chr19:22106116-22107275:-	3e-35	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.26243	chr19:22807815-22811433:+	2e-42	EHH55556.1, hypothetical protein EGM_04788, partial [Macaca fascicularis]	6.54e-37	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.26244	chr19:22864584-22869473:+	2e-28	EHH24659.1, hypothetical protein EGK_08355, partial [Macaca mulatta]	6.40e-16	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.26247	chr19:22926165-22927405:+	9e-21	AAM46782.1, hepatocellular carcinoma-associated antigen HCA25a [Homo sapiens]	-	-
discard	CHS.26248	chr19:22927449-22928605:+	5e-40	AAP34472.1, LP3428 [Homo sapiens]	-	-
coding	CHS.26278	chr19:25304667-25307029:+	4e-30	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
coding	CHS.26279	chr19:26529641-26529916:+	1e-33	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
discard	CHS.26326	chr19:29679290-29685326:+	7e-33	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	7.46e-26	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.26498	chr19:35697726-35700690:+	1e-36	CAE92091.1, unnamed protein product [Homo sapiens]	4.87e-26	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.26543	chr19:36257689-36272236:+	3e-93	XP_016791291.1, PREDICTED: uncharacterized protein LOC107969739 isoform X1 [Pan troglodytes]	-	-
coding	CHS.26544	chr19:36259377-36305826:-	7e-67	XP_004048119.2, PREDICTED: protein FAM27D1-like [Gorilla gorilla gorilla]	1.09e-33	sp|Q1W209|ESRG_HUMAN, Embryonic stem cell-related gene protein OS=Homo sapiens GN=ESRG PE=2 SV=2
discard	CHS.26554	chr19:36491401-36496542:-	5e-79	AAK21305.1, FKSG52 [Homo sapiens]	-	-
discard	CHS.26566	chr19:36793707-36797068:+	7e-33	EHH20263.1, hypothetical protein EGK_03078, partial [Macaca mulatta]	6.20e-27	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.26583	chr19:37272676-37312036:-	1e-50	EAW50417.1, hCG1820370 [Homo sapiens]	-	-
coding	CHS.26584	chr19:37272676-37292673:+	1e-73	XP_004048119.2, PREDICTED: protein FAM27D1-like [Gorilla gorilla gorilla]	-	-
discard	CHS.2661	chr1:117269704-117295390:-	1e-38	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	7.20e-32	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.26640	chr19:38637542-38642622:-	1e-25	CAD69626.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.26654	chr19:38854720-38857106:-	6e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.26665	chr19:39038999-39070073:+	1e-47	AAG35515.1, PRO2550 [Homo sapiens]	9.12e-33	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.26676	chr19:39266990-39267877:+	1e-16	EAW78405.1, hCG2021310 [Homo sapiens]	7.23e-16	sp|Q96N38|ZN714_HUMAN, Zinc finger protein 714 OS=Homo sapiens GN=ZNF714 PE=2 SV=3
discard	CHS.26729	chr19:40180229-40191389:-	6e-25	EHH24426.1, hypothetical protein EGK_08082, partial [Macaca mulatta]	3.71e-18	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.26753	chr19:40631099-40632297:-	4e-23	EHH16986.1, hypothetical protein EGK_13267, partial [Macaca mulatta]	2.32e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.26777	chr19:41103254-41104252:+	2e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.26780	chr19:41179731-41181830:+	8e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.26806	chr19:41612688-41616630:+	5e-36	EHH14613.1, hypothetical protein EGK_00570, partial [Macaca mulatta]	5.83e-30	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.26814	chr19:41819418-41824486:+	5e-32	BAD18412.1, unnamed protein product [Homo sapiens]	1.69e-27	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.27008	chr19:45478867-45485099:+	1e-32	EHH52072.1, hypothetical protein EGM_12441, partial [Macaca fascicularis]	3.63e-21	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.27103	chr19:47010270-47017350:+	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.27113	chr19:47243364-47249232:+	1e-31	XP_017443260.1, PREDICTED: uncharacterized protein LOC108348722 [Rattus norvegicus]	-	-
non-coding	CHS.27163	chr19:48292997-48296302:+	5e-36	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.93e-32	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.27179	chr19:48547985-48550560:-	4e-33	ELR48704.1, hypothetical protein M91_18454, partial [Bos mutus]	-	-
coding	CHS.2721	chr1:120415056-120421180:+	7e-53	XP_016855397.1, PREDICTED: uncharacterized protein LOC105371303 isoform X2 [Homo sapiens]	-	-
coding	CHS.2754	chr1:143221958-143222833:+	6e-28	EGV91139.1, hypothetical protein I79_026279 [Cricetulus griseus]	-	-
coding	CHS.2756	chr1:143245378-143245658:-	2e-33	EGV91139.1, hypothetical protein I79_026279 [Cricetulus griseus]	-	-
coding	CHS.2759	chr1:143252607-143253357:-	2e-33	EGV91139.1, hypothetical protein I79_026279 [Cricetulus griseus]	-	-
non-coding	CHS.27602	chr19:55335056-55336147:-	2e-23	CAE98892.1, unnamed protein product, partial [Homo sapiens]	2.13e-19	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.27631	chr19:55523504-55527816:-	3e-29	EHH65544.1, hypothetical protein EGM_02322, partial [Macaca fascicularis]	2.06e-16	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1
non-coding	CHS.27671	chr19:56160960-56170446:-	6e-37	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	1.21e-29	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.27710	chr19:57088404-57095584:+	9e-29	EHH49632.1, hypothetical protein EGM_00324, partial [Macaca fascicularis]	8.55e-27	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.27740	chr19:57593914-57599795:-	1e-16	EAW54808.1, hCG2038449, partial [Homo sapiens]	-	-
coding	CHS.27790	chr19:58381290-58383868:+	1e-20	EAW72580.1, hCG2008536, partial [Homo sapiens]	-	-
coding	CHS.27830	chr19_GL383573v1_alt:312598-315095:-	1e-16	XP_017808319.1, PREDICTED: uncharacterized protein LOC103879999 [Papio anubis]	-	-
coding	CHS.2823	chr1:145459794-145460756:+	8e-40	XP_010368881.1, PREDICTED: cleavage and polyadenylation specificity factor subunit 6-like [Rhinopithecus roxellana]	-	-
discard	CHS.28457	chr1_KI270706v1_random:142005-149830:-	3e-20	CAD69516.1, unnamed protein product [Homo sapiens]	1.76e-16	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
coding	CHS.28460	chr1_KI270709v1_random:5530-15387:-	6e-25	EGV91139.1, hypothetical protein I79_026279 [Cricetulus griseus]	-	-
coding	CHS.28467	chr1_KI270713v1_random:11310-14701:-	1e-152	XP_009438252.2, PREDICTED: uncharacterized protein LOC104004085 [Pan troglodytes]	-	-
coding	CHS.28472	chr1_KI270714v1_random:8914-17135:-	1e-45	XP_011930822.1, PREDICTED: uncharacterized protein LOC105592870 [Cercocebus atys]	-	-
non-coding	CHS.285	chr1:7985921-8000843:+	2e-24	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
non-coding	CHS.2859	chr1:146396045-146401672:-	4e-27	EAX04538.1, hCG2000782 [Homo sapiens]	2.63e-16	sp|Q96CB5|CH044_HUMAN, Putative uncharacterized protein C8orf44 OS=Homo sapiens GN=C8orf44 PE=2 SV=2
non-coding	CHS.28607	chr2:3561812-3567926:-	4e-47	CAD69516.1, unnamed protein product [Homo sapiens]	9.58e-41	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.28608	chr2:3561753-3575176:-	4e-47	CAD69516.1, unnamed protein product [Homo sapiens]	9.58e-41	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.28620	chr2:4244190-4245174:+	8e-26	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
non-coding	CHS.28762	chr2:10901640-10904109:+	3e-86	AAK21302.1, FKSG49 [Homo sapiens]	-	-
non-coding	CHS.28763	chr2:10901723-10904345:-	2e-44	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.28812	chr2:14664467-14674782:+	7e-35	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.15e-27	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
coding	CHS.2894	chr1:148032919-148035328:+	1e-40	XP_010368881.1, PREDICTED: cleavage and polyadenylation specificity factor subunit 6-like [Rhinopithecus roxellana]	-	-
discard	CHS.28990	chr2:25909636-25911634:-	6e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.29012	chr2:26815176-26818730:+	9e-40	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	3.34e-34	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.29026	chr2:27119413-27123347:-	9e-20	EHH65557.1, hypothetical protein EGM_02338, partial [Macaca fascicularis]	-	-
discard	CHS.29138	chr2:31855256-31863804:-	2e-25	EHH58869.1, hypothetical protein EGM_08825, partial [Macaca fascicularis]	2.21e-20	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.29190	chr2:36330684-36354820:+	7e-24	EHH27543.1, hypothetical protein EGK_17760, partial [Macaca mulatta]	1.39e-21	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.29243	chr2:38384094-38388190:-	1e-18	CAJ42705.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.29250	chr2:38541469-38545561:+	3e-29	EHH64058.1, hypothetical protein EGM_17177, partial [Macaca fascicularis]	1.44e-26	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.29290	chr2:42013736-42014558:-	2e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.29295	chr2:42072538-42076238:+	3e-20	BAB70813.1, unnamed protein product [Homo sapiens]	-	-
coding	CHS.29336	chr2:43060303-43063976:+	2e-74	BAD92674.1, similar to FKSG60, partial [Homo sapiens]	-	-
discard	CHS.29358	chr2:44066336-44068281:-	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.29359	chr2:44075976-44077012:+	2e-23	CAF17222.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.29412	chr2:46767342-46773561:-	3e-33	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	1.24e-23	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.29590	chr2:61052336-61062521:-	3e-24	BAE91091.1, unnamed protein product [Macaca fascicularis]	-	-
non-coding	CHS.29591	chr2:61052923-61062522:+	1e-27	CAE93856.1, unnamed protein product [Homo sapiens]	4.83e-19	sp|E7EU14|PP5D1_HUMAN, Protein PPP5D1 OS=Homo sapiens GN=PPP5D1 PE=2 SV=2
non-coding	CHS.29620	chr2:62296252-62357972:+	6e-26	EAW59739.1, hCG1817513 [Homo sapiens]	-	-
non-coding	CHS.29645	chr2:64273684-64299858:+	3e-35	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	1.87e-25	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
non-coding	CHS.29829	chr2:71155936-71163474:+	9e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.2995	chr1:150519269-150540360:-	2e-34	CAE98607.1, unnamed protein product, partial [Homo sapiens]	4.82e-24	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
discard	CHS.29969	chr2:78602085-78648865:-	5e-32	BAE91091.1, unnamed protein product [Macaca fascicularis]	1.46e-20	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.29993	chr2:82309560-82325718:-	4e-33	EAW68953.1, hCG1814039, partial [Homo sapiens]	3.82e-30	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.30018	chr2:84907975-84913097:+	1e-36	CAE91330.1, unnamed protein product [Homo sapiens]	1.57e-24	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
discard	CHS.30040	chr2:85492759-85518365:+	6e-25	EHH18962.1, hypothetical protein EGK_19562, partial [Macaca mulatta]	5.39e-16	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.30073	chr2:85924174-85936210:+	9e-66	CAE91349.1, unnamed protein product [Homo sapiens]	-	-
coding	CHS.30107	chr2:87358785-87363051:-	4e-18	ELK25717.1, hypothetical protein MDA_GLEAN10013964 [Myotis davidii]	-	-
discard	CHS.30108	chr2:87359247-87372067:+	7e-16	CAF16784.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.30109	chr2:87401558-87405710:-	3e-38	EHH63249.1, hypothetical protein EGM_16173, partial [Macaca fascicularis]	1.27e-22	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.3012	chr1:150642757-150645522:-	5e-25	CAF17222.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.3016	chr1:150724266-150729984:+	1e-41	CAD69516.1, unnamed protein product [Homo sapiens]	3.04e-32	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
coding	CHS.30198	chr2:95802768-95803187:+	1e-21	CAF16964.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.30419	chr2:106553624-106557628:+	2e-25	EHH22013.1, hypothetical protein EGK_05194, partial [Macaca mulatta]	1.84e-18	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.305	chr1:8912005-8912711:-	2e-85	AAK21302.1, FKSG49 [Homo sapiens]	-	-
non-coding	CHS.3053	chr1:151330761-151339273:+	5e-25	EHH27828.1, hypothetical protein EGK_18118, partial [Macaca mulatta]	9.27e-23	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.30589	chr2:113567197-113570485:+	2e-36	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	1.23e-16	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1
non-coding	CHS.30659	chr2:119210398-119211032:+	1e-31	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.83e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.30716	chr2:121892098-121894177:+	2e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
coding	CHS.30744	chr2:126640708-126653184:-	7e-36	CAF17739.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.30793	chr2:128028127-128055641:+	2e-39	AAG35515.1, PRO2550 [Homo sapiens]	4.24e-27	sp|Q53H47|SETMR_HUMAN, Histone-lysine N-methyltransferase SETMAR OS=Homo sapiens GN=SETMAR PE=1 SV=2
coding	CHS.30879	chr2:132265490-132268253:-	7e-22	XP_017453144.1, PREDICTED: uncharacterized protein LOC103693361 [Rattus norvegicus]	-	-
discard	CHS.30987	chr2:142822232-142846527:+	2e-22	EHH54758.1, hypothetical protein EGM_15654, partial [Macaca fascicularis]	7.84e-17	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.31002	chr2:143912967-143922989:-	5e-21	EAX05948.1, hCG2027609 [Homo sapiens]	-	-
discard	CHS.31140	chr2:156368729-156370149:+	3e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.31306	chr2:170141600-170157570:+	7e-42	EAW51232.1, hCG1820357 [Homo sapiens]	-	-
non-coding	CHS.31415	chr2:175918855-175923782:+	1e-40	BAC04333.1, unnamed protein product [Homo sapiens]	1.07e-31	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.31537	chr2:183116536-183117388:+	7e-45	AAG35515.1, PRO2550 [Homo sapiens]	7.17e-31	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.31539	chr2:183178480-183180846:+	1e-25	BAE90042.1, unnamed protein product [Macaca fascicularis]	1.57e-21	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.31697	chr2:195567197-195569602:+	2e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.3170	chr1:153551812-153552454:-	7e-36	EHH14636.1, hypothetical protein EGK_00596, partial [Macaca mulatta]	3.39e-31	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.3174	chr1:153585013-153590245:-	2e-25	EHH20620.1, hypothetical protein EGK_03509, partial [Macaca mulatta]	9.23e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.31779	chr2:201088161-201091804:-	5e-17	EAW64091.1, hCG1813943 [Homo sapiens]	-	-
non-coding	CHS.31852	chr2:205882198-205882604:-	2e-32	EHH25734.1, hypothetical protein EGK_15555, partial [Macaca mulatta]	5.00e-28	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.31956	chr2:215301218-215311972:-	6e-23	EHH16558.1, hypothetical protein EGK_11851, partial [Macaca mulatta]	1.37e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.32068	chr2:218930778-218933699:+	7e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.3210	chr1:154287714-154288429:+	6e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
