Status	Transcript_ID	Gene_ID	Location	Transcript_Length	No_of_exons	No_of_samples	Average_TPM	Maximum_TPM	NR_Eval	NR_hit	SP_Eval	SP_hit	CDD_Eval	Pfam_Eval	CDSlen	CDSreps	CDSrepeatcov	ALU_cdcov	LINE_cdcov	GencodeCall
non-coding	CHS.31537.1	CHS.31537	chr2:183116536-183117388:+	853	1	147	8.90747675510204	29.817705	7e-45	AAG35515.1, PRO2550 [Homo sapiens]	7.17e-31	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1	-	-	402	SINE|Alu:297	73.9	73.9	0	SINE/Alu
non-coding	CHS.14518.1	CHS.14518	chr13:95415285-95419130:-	3649	2	21	1.47884519047619	2.823036	2e-31	EAW68953.1, hCG1814039, partial [Homo sapiens]	1.26e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	423	SINE|Alu:388,Simple_repeat:27	98.1	91.7	0	SINE/Alu;Simple_repeat
coding	CHS.42773.2	CHS.42773	chr5:49616440-49622876:-	338	3	1	2.884932	2.884932	3e-32	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-	-	-	-	-	-	-	-	Satellite/centr
discard	CHS.55546.1	CHS.55546	chr9:41792677-41804606:+	413	2	9	1.33822655555556	1.865081	8e-20	EHH20620.1, hypothetical protein EGK_03509, partial [Macaca mulatta]	-	-	-	-	207	SINE|Alu:200	96.6	96.6	0	SINE/Alu
coding	CHS.56318.1	CHS.56318	chr9:102443857-102497871:-	2441	3	3	0.950811	1.410537	1e-26	XP_014411656.1, PREDICTED: protein CEBPZOS isoform X2 [Camelus ferus]	1.65e-24	sp|A8MTT3|CEBOS_HUMAN, Protein CEBPZOS OS=Homo sapiens GN=CEBPZOS PE=1 SV=2	-	-	-	-	-	-	-	-
discard	CHS.43623.1	CHS.43623	chr5:112953029-112954570:+	1283	2	4	1.179717	1.809279	8e-35	EAW65946.1, chromosome 14 open reading frame 126, isoform CRA_b [Homo sapiens]	-	-	-	-	285	SINE|Alu:76,Retroposon|SVA:209	100.0	100.0	0	Retroposon/SVA;SINE/Alu
non-coding	CHS.49753.1	CHS.49753	chr7:2533377-2534389:+	1013	1	1157	2.52056788677615	39.588997	2e-84	AAK08107.1, FKSG62 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.49753.3	CHS.49753	chr7:2533514-2537772:+	3508	2	3	6.109417	15.728622	7e-83	AAK08107.1, FKSG62 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
discard	CHS.19397.1	CHS.19397	chr16:25274632-25277638:+	728	2	1	1.426043	1.426043	2e-30	EHH66749.1, hypothetical protein EGM_03798, partial [Macaca fascicularis]	2.04e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	219	SINE|Alu:219	100.0	100.0	0	SINE/Alu
coding	CHS.20594.3	CHS.20594	chr16:86682483-86696445:+	516	2	93	2.27653462365591	16.136715	-	-	-	-	-	-	-	-	-	-	-	Simple_repeat
coding	CHS.20594.1	CHS.20594	chr16:86670268-86682820:+	12166	2	38	1.25950581578947	2.705257	2e-27	ELR53142.1, hypothetical protein M91_08612, partial [Bos mutus]	-	-	-	-	-	-	-	-	-	Simple_repeat
discard	CHS.1424.1	CHS.1424	chr1:43501262-43505903:+	3576	2	8	1.06555575	1.618626	2e-16	EHH59362.1, hypothetical protein EGM_09449, partial [Macaca fascicularis]	-	-	-	-	330	SINE|Alu:165	50.0	50.0	0	SINE/Alu
coding	CHS.5286.1	CHS.5286	chr10:2422155-2424587:-	1496	2	1	2.004149	2.004149	1e-30	CAF17983.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	-
coding	CHS.11569.1	CHS.11569	chr12:49536677-49538804:-	620	2	3	0.521273333333333	1.011657	9e-44	EHH59362.1, hypothetical protein EGM_09449, partial [Macaca fascicularis]	2.46e-34	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	-	-	-	-	-	SINE/MIR
discard	CHS.22661.1	CHS.22661	chr17:50297229-50308865:+	3007	2	1	3.676087	3.676087	2e-28	EHH60881.1, hypothetical protein EGM_18770, partial [Macaca fascicularis]	5.79e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	333	SINE|Alu:263	79.0	79.0	0	SINE/Alu
non-coding	CHS.35377.1	CHS.35377	chr22:23846875-23848787:-	1913	1	1	44.766556	44.766556	2e-31	AAG35515.1, PRO2550 [Homo sapiens]	2.76e-21	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1	-	-	297	SINE|Alu:223	75.1	75.1	0	SINE/Alu
non-coding	CHS.44229.2	CHS.44229	chr5:141883554-141884179:+	626	1	11	1.27675227272727	2.456975	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.44229.1	CHS.44229	chr5:141883369-141893857:+	2821	2	1	2.774731	2.774731	1e-30	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-	-	-	222	SINE|Alu:222	100.0	100.0	0	SINE/Alu
discard	CHS.56794.1	CHS.56794	chr9:127409597-127417651:-	6724	2	1	1.364048	1.364048	1e-18	EHH59972.1, hypothetical protein EGM_10210, partial [Macaca fascicularis]	-	-	-	-	312	SINE|Alu:195	62.5	62.5	0	SINE/Alu
non-coding	CHS.47566.1	CHS.47566	chr6:136336679-136339440:+	2762	1	1010	1.95101243564356	17.661699	1e-33	XP_010341849.1, PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC101031272 [Saimiri boliviensis boliviensis]	2.03e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	381	SINE|Alu:288	75.6	75.6	0	SINE/Alu
coding	CHS.46818.1	CHS.46818	chr6:80079391-80083694:-	651	2	5	2.1696002	2.764228	9e-40	CAF17400.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	SINE/MIR
non-coding	CHS.56232.1	CHS.56232	chr9:98018148-98030634:+	4597	2	37	1.70782648648649	6.473335	7e-19	EHH50883.1, hypothetical protein EGM_01778, partial [Macaca fascicularis]	1.15e-20	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	330	SINE|Alu:219	66.4	66.4	0	SINE/Alu
non-coding	CHS.56232.2	CHS.56232	chr9:98025750-98030665:+	4832	2	18	1.31409705555556	2.445138	7e-19	EHH50883.1, hypothetical protein EGM_01778, partial [Macaca fascicularis]	1.15e-20	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	330	SINE|Alu:219	66.4	66.4	0	SINE/Alu
non-coding	CHS.9319.1	CHS.9319	chr11:68640000-68644824:+	4825	1	70	3.04475002857143	14.879942	2e-21	BAC85249.1, unnamed protein product [Homo sapiens]	1.50e-18	sp|Q96CB5|CH044_HUMAN, Putative uncharacterized protein C8orf44 OS=Homo sapiens GN=C8orf44 PE=2 SV=2	-	-	498	SINE|Alu:186	37.3	37.3	0	SINE/Alu
discard	CHS.48137.1	CHS.48137	chr6:168375569-168384900:-	906	3	7	1.48838657142857	2.11255	2e-20	EAW68204.1, hCG2033532 [Homo sapiens]	-	-	-	-	354	SINE|Alu:242	68.4	68.4	0	SINE/Alu
coding	CHS.46556.1	CHS.46556	chr6:52209996-52213904:+	1811	2	2	1.7078525	1.716335	1e-58	BAK63142.1, hypothetical protein [Pan troglodytes]	-	-	-	-	-	-	-	-	-	-
non-coding	CHS.13362.3	CHS.13362	chr12:132762154-132764946:+	1048	2	31	1.31223177419355	2.583044	4e-53	EAW54822.1, hCG1788270, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.13362.2	CHS.13362	chr12:132762108-132768872:+	1464	3	13	1.32582453846154	2.192431	-	-	-	-	-	-	366	SINE|Alu:142	38.8	38.8	0	SINE/Alu
non-coding	CHS.41899.1	CHS.41899	chr4:180787303-180823472:-	18134	2	11	1.98820754545455	9.821067	1e-30	BAH12795.1, unnamed protein product [Homo sapiens]	6.31e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	297	SINE|Alu:240,Simple_repeat:35	92.6	80.8	0	SINE/Alu;Simple_repeat
discard	CHS.1622.1	CHS.1622	chr1:52671957-52684213:-	10370	2	1	2.79811	2.79811	8e-51	AAG35515.1, PRO2550 [Homo sapiens]	9.34e-29	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1	-	-	516	SINE|Alu:292	56.6	56.6	0	SINE/Alu
non-coding	CHS.36278.1	CHS.36278	chr22:50628248-50640398:-	11956	2	56	1.91535653571429	4.645122	7e-34	XP_005584617.2, PREDICTED: protein Wnt-9b isoform X1 [Macaca fascicularis]	4.39e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	330	SINE|Alu:326	98.8	98.8	0	SINE/Alu
non-coding	CHS.36278.2	CHS.36278	chr22:50628277-50631598:-	3322	1	7	6.99495785714286	16.286139	2e-34	XP_005584617.2, PREDICTED: protein Wnt-9b isoform X1 [Macaca fascicularis]	4.39e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	330	SINE|Alu:326	98.8	98.8	0	SINE/Alu
discard	CHS.52401.1	CHS.52401	chr7:157421698-157438025:-	2057	2	1	5.927819	5.927819	1e-28	EHH64738.1, hypothetical protein EGM_18043, partial [Macaca fascicularis]	3.77e-22	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	516	SINE|Alu:261	50.6	50.6	0	SINE/Alu
discard	CHS.41795.1	CHS.41795	chr4:170036196-170039342:-	2606	2	1	1.150168	1.150168	6e-22	CAE98892.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	369	SINE|Alu:222	60.2	60.2	0	SINE/Alu
discard	CHS.55346.1	CHS.55346	chr9:34136129-34139012:+	2609	2	5	2.033975	2.417794	5e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
discard	CHS.37001.1	CHS.37001	chr3:40491379-40496750:+	846	2	1	1.08235	1.08235	3e-19	EHH63249.1, hypothetical protein EGM_16173, partial [Macaca fascicularis]	6.93e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	462	SINE|Alu:260	56.3	56.3	0	SINE/Alu
discard	CHS.3654.1	CHS.3654	chr1:168207141-168209214:-	1630	2	6	1.54816583333333	2.451787	2e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.51363.1	CHS.51363	chr7:100503162-100509607:-	976	2	43	2.22860655813954	6.030309	6e-25	EHH14291.1, hypothetical protein EGK_00186, partial [Macaca mulatta]	7.77e-22	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	264	SINE|Alu:179	67.8	67.8	0	SINE/Alu
discard	CHS.19590.1	CHS.19590	chr16:30809146-30813673:-	876	2	1	1.273631	1.273631	9e-19	EHH57996.1, hypothetical protein EGM_07753, partial [Macaca fascicularis]	-	-	-	-	258	SINE|Alu:223	86.4	86.4	0	SINE/Alu
non-coding	CHS.50516.1	CHS.50516	chr7:44575835-44577877:+	2043	1	1343	4.25608219955324	33.801735	3e-32	XP_016791645.1, PREDICTED: carcinoembryonic antigen-related cell adhesion molecule 19 isoform X6 [Pan troglodytes]	5.90e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	615	SINE|Alu:577	93.8	93.8	0	SINE/Alu
coding	CHS.22924.1	CHS.22924	chr17:63456938-63457601:-	580	2	1	1.556647	1.556647	2e-81	AAK08111.1, FKSG67 [Homo sapiens]	-	-	0.00217515	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.39472.5	CHS.39472	chr3:196979388-196981205:+	1818	1	2180	2.26587950275229	22.032013	2e-34	EAW81162.1, hCG1814203 [Homo sapiens]	4.53e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	417	Simple_repeat:30,SINE|Alu:271	72.2	65.0	0	SINE/Alu;Simple_repeat
coding	CHS.914.1	CHS.914	chr1:26817347-26819141:+	1100	2	1	2.107831	2.107831	4e-22	AAM46782.1, hepatocellular carcinoma-associated antigen HCA25a [Homo sapiens]	-	-	0.00257524	-	456	Retroposon|SVA:456	100.0	100.0	0	Retroposon/SVA
discard	CHS.19750.1	CHS.19750	chr16:46999621-47001282:+	1625	2	2	1.2017695	1.220229	1e-39	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	219	Retroposon|SVA:219	100.0	100.0	0	Retroposon/SVA
discard	CHS.9108.1	CHS.9108	chr11:65246380-65248058:+	1470	2	1	1.653033	1.653033	1e-18	EAW60506.1, hCG2040996, partial [Homo sapiens]	-	-	-	-	222	SINE|Alu:162	73.0	73.0	0	SINE/Alu
non-coding	CHS.28763.1	CHS.28763	chr2:10901723-10904001:-	2034	2	29	8.59673134482759	40.247238	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	240	Retroposon|SVA:240	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.28763.5	CHS.28763	chr2:10901901-10902885:-	985	1	32	5.51904565625	33.496422	2e-44	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	240	Retroposon|SVA:240	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.28763.8	CHS.28763	chr2:10901938-10904157:-	2122	2	17	7.53451470588235	28.113968	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	240	Retroposon|SVA:240	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.28763.3	CHS.28763	chr2:10901891-10904109:-	2023	2	20	4.22453095	10.54265	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	240	Retroposon|SVA:240	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.28763.2	CHS.28763	chr2:10901853-10904028:-	2029	2	11	4.44491827272727	16.495193	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	240	Retroposon|SVA:240	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.28763.7	CHS.28763	chr2:10901927-10903913:-	1840	2	4	9.7428235	21.322811	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	240	Retroposon|SVA:240	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.28763.10	CHS.28763	chr2:10901990-10903964:-	1583	2	4	6.371986	15.386345	2e-38	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	205	Retroposon|SVA:205	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.55441.1	CHS.55441	chr9:36570250-36572749:-	975	2	45	1.81007766666667	3.226403	3e-35	EHH14529.1, hypothetical protein EGK_00471, partial [Macaca mulatta]	1.20e-25	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	243	SINE|Alu:240	98.8	98.8	0	SINE/Alu;DNA/TcMar-Tigger
non-coding	CHS.33850.2	CHS.33850	chr20:51587218-51593353:-	6136	1	58	9.71993077586207	28.974636	1e-37	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	4.37e-28	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	288	SINE|Alu:245	85.1	85.1	0	SINE/Alu
discard	CHS.23155.1	CHS.23155	chr17:73276507-73278093:+	1279	2	1	1.265504	1.265504	7e-56	EAW89122.1, hCG2039054, partial [Homo sapiens]	6.85e-30	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	267	SINE|Alu:239,DNA|TcMar-Mariner:23	98.1	89.5	0	SINE/Alu;DNA/TcMar-Mariner
discard	CHS.23700.1	CHS.23700	chr17_GL000258v2_alt:1204056-1209249:-	2594	2	1	2.062354	2.062354	3e-30	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	6.40e-26	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	273	SINE|Alu:231	84.6	84.6	0	SINE/Alu
discard	CHS.2578.1	CHS.2578	chr1:113686027-113690499:+	2800	2	1	2.419865	2.419865	6e-21	CAE89781.1, unnamed protein product [Homo sapiens]	-	-	-	-	276	SINE|Alu:253	91.7	91.7	0	SINE/Alu
non-coding	CHS.54608.1	CHS.54608	chr8:140494326-140496492:+	2167	1	19	5.45826610526316	30.780666	1e-29	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	2.04e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	228	SINE|Alu:216	94.7	94.7	0	SINE/Alu
discard	CHS.55987.1	CHS.55987	chr9:88704359-88716625:+	1470	2	1	1.509553	1.509553	6e-38	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	2.26e-30	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	273	SINE|Alu:239	87.5	87.5	0	SINE/Alu
non-coding	CHS.1693.1	CHS.1693	chr1:54895915-54896539:+	625	1	3	7.98450666666667	17.410543	3e-38	EAW56733.1, similar to zinc finger protein 569, isoform CRA_a [Homo sapiens]	4.45e-28	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1	-	-	294	SINE|Alu:277,DNA|hAT-Tip100:17	100.0	94.2	0	SINE/Alu;DNA/hAT-Tip100
discard	CHS.15278.1	CHS.15278	chr14:35814462-35819034:+	2035	2	2	0.8581675	1.385563	7e-25	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	8.86e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	255	DNA|TcMar-Mariner:59,SINE|Alu:194	99.2	76.1	0	SINE/Alu;DNA/TcMar-Mariner
coding	CHS.30073.1	CHS.30073	chr2:85924174-85936210:+	9925	2	1	1.601544	1.601544	9e-66	CAE91349.1, unnamed protein product [Homo sapiens]	-	-	-	-	-	-	-	-	-	-
discard	CHS.21884.1	CHS.21884	chr17:34758828-34760517:-	1184	2	2	3.4252135	4.328364	4e-16	EHH50885.1, hypothetical protein EGM_01780, partial [Macaca fascicularis]	-	-	-	-	291	SINE|Alu:212	72.9	72.9	0	SINE/Alu
discard	CHS.58829.1	CHS.58829	chrX:134957544-134961405:+	1773	2	2	1.56241	2.013591	2e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
discard	CHS.54820.1	CHS.54820	chr8_KI270810v1_alt:272399-274526:-	1901	2	2	1.203029	1.374598	3e-40	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	237	Retroposon|SVA:237	100.0	100.0	0	Retroposon/SVA
discard	CHS.51762.1	CHS.51762	chr7:128134524-128201271:+	9401	3	1	7.575741	7.575741	1e-24	BAC04924.1, unnamed protein product [Homo sapiens]	-	-	-	-	375	DNA|hAT-Charlie:69,SINE|Alu:306	100.0	81.6	0	SINE/Alu;DNA/hAT-Charlie
non-coding	CHS.24522.1	CHS.24522	chr18:43788307-43788666:-	360	1	3	10.224634	15.996884	9e-34	EHH22373.1, hypothetical protein EGK_05619, partial [Macaca mulatta]	1.13e-26	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	258	SINE|Alu:247	95.7	95.7	0	SINE/Alu
discard	CHS.53123.1	CHS.53123	chr8:30305856-30319466:+	436	2	3	3.40248433333333	7.082223	7e-17	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	4.47e-16	sp|Q8N9N2|ASCC1_HUMAN, Activating signal cointegrator 1 complex subunit 1 OS=Homo sapiens GN=ASCC1 PE=1 SV=1	-	-	240	SINE|Alu:141	58.8	58.8	0	SINE/Alu
non-coding	CHS.38858.2	CHS.38858	chr3:163499846-163528559:+	19413	2	23	1.50223034782609	2.713849	6e-22	CAE98607.1, unnamed protein product, partial [Homo sapiens]	3.96e-22	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1	-	-	297	SINE|Alu:263,DNA|hAT-Charlie:34	100.0	88.6	0	SINE/Alu;DNA/hAT-Charlie
non-coding	CHS.38858.5	CHS.38858	chr3:163512435-163528633:+	13668	2	22	1.53785536363636	4.041775	2e-24	EHH31407.1, hypothetical protein EGK_12471, partial [Macaca mulatta]	2.35e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	258	DNA|hAT-Charlie:35,SINE|Alu:223	100.0	86.4	0	SINE/Alu;DNA/hAT-Charlie
non-coding	CHS.36354.8	CHS.36354	chr22_KI270879v1_alt:90192-92679:+	2263	2	62	10.8084331290323	48.849934	-	-	-	-	-	-	-	-	-	-	-	Retroposon/SVA
non-coding	CHS.36354.6	CHS.36354	chr22_KI270879v1_alt:90177-92679:+	2151	2	22	4.26917313636364	13.858809	5e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	228	Retroposon|SVA:228	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.36354.2	CHS.36354	chr22_KI270879v1_alt:90170-92677:+	2206	2	26	3.21972469230769	9.770569	5e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	228	Retroposon|SVA:228	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.36354.7	CHS.36354	chr22_KI270879v1_alt:90188-92679:+	2366	2	2	15.607787	18.337036	5e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	228	Retroposon|SVA:228	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.36354.1	CHS.36354	chr22_KI270879v1_alt:90164-92656:+	2169	2	12	2.0621995	3.763928	5e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	228	Retroposon|SVA:228	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.36354.9	CHS.36354	chr22_KI270879v1_alt:91096-92680:+	1262	2	1	20.950089	20.950089	5e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	228	Retroposon|SVA:228	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.32412.3	CHS.32412	chr2:234373317-234377650:+	1169	2	87	1.79937887356322	3.784014	2e-21	XP_017805578.1, PREDICTED: protein-lysine N-methyltransferase METTL10 [Papio anubis]	-	-	-	-	318	SINE|Alu:263	82.7	82.7	0	SINE/Alu
non-coding	CHS.6022.1	CHS.6022	chr10:43409294-43412384:+	3091	1	161	3.5702998447205	9.057934	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.6022.2	CHS.6022	chr10:43409392-43417186:+	1949	2	3	1.81198766666667	2.520849	6e-21	CAF14539.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	207	SINE|Alu:207	100.0	100.0	0	SINE/Alu
non-coding	CHS.9768.1	CHS.9768	chr11:95084541-95089650:+	5110	1	969	2.57600688441692	14.11123	2e-29	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	3.28e-24	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	303	SINE|Alu:295	97.4	97.4	0	SINE/Alu
discard	CHS.34608.1	CHS.34608	chr21:32544879-32547178:+	1377	2	2	1.9478895	2.333152	2e-21	EHH18962.1, hypothetical protein EGK_19562, partial [Macaca mulatta]	3.81e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	219	SINE|Alu:219	100.0	100.0	0	SINE/Alu
discard	CHS.14066.1	CHS.14066	chr13:49909304-49912397:+	2776	2	8	1.348136375	2.179906	3e-28	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	3.50e-16	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	336	SINE|Alu:212	63.1	63.1	0	SINE/Alu
coding	CHS.2756.1	CHS.2756	chr1:143245378-143245658:-	281	1	2	93.346878	106.262733	2e-33	EGV91139.1, hypothetical protein I79_026279 [Cricetulus griseus]	-	-	-	-	-	-	-	-	-	Simple_repeat
discard	CHS.3335.1	CHS.3335	chr1:156512187-156522501:+	6745	2	2	1.672757	2.735566	8e-38	EHH51985.1, hypothetical protein EGM_12341, partial [Macaca fascicularis]	9.91e-32	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	291	SINE|Alu:276	94.8	94.8	0	SINE/Alu
discard	CHS.16328.2	CHS.16328	chr14:97425197-97426904:-	1124	2	4	1.32439275	1.493439	1e-25	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	1.49e-21	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	264	SINE|Alu:208	78.8	78.8	0	SINE/Alu
non-coding	CHS.25787.1	CHS.25787	chr19:12762494-12762939:+	446	1	216	1.87454068055556	14.493351	3e-34	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.05e-24	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	255	SINE|Alu:242	94.9	94.9	0	SINE/Alu
non-coding	CHS.30659.1	CHS.30659	chr2:119210398-119211032:+	635	1	10	25.0296001	94.586082	1e-31	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.83e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	312	SINE|Alu:292	93.6	93.6	0	SINE/Alu
